seconds,height (cm)
0,44.5
20,43
40,42
60,40.8
80,39.6
100,38.5
120,37.5
140,36.5
160,35.4
180,34.4
200,33.6
220,32.8
240,32
260,
280,29.8
300,29
320,28.2
340,27.3
360,26.6
380,25.8
400,25.1
420,24.4
440,23.8
460,23.1
480,22.4
500,21.7
520,21.1
540,20.5
560,19.9
580,19.3
600,18.8
620,18.2
640,17.7
660,17.2
680,16.8
700,16.4
720,16
740,15.5
760,15.2
780,14.8
800,14.5
820,14
840,13.8
860,13.4
880,13.2
900,12.9
920,12.5
940,12.4
960,12
980,11.8
1000,11.6
1020,11.5
1040,11.4
1060,11.2
1080,11.1
1100,11
1120,10.9
1140,10.9
1160,10.8
1180,10.8
1200,10.7
1220,10.7
1240,10.6
1260,10.5
1280,10.5
1300,10.5
1320,10.5
1340,10.4
1360,10.4
1380,10.4
1400,10.4
1420,10.4
